"Production Type","2015 [MW]","2016 [MW]"
"Biomass","400","398"
"Fossil Brown coal/Lignite","0","0"
"Fossil Coal-derived gas","0","0"
"Fossil Gas","19590","19914"
"Fossil Hard coal","7270","5658"
"Fossil Oil","0","0"
"Fossil Oil shale","0","0"
"Fossil Peat","0","0"
"Geothermal","0","0"
"Hydro Pumped Storage","0","0"
"Hydro Run-of-river and poundage","38","38"
"Hydro Water Reservoir","0","0"
"Marine","0","0"
"Nuclear","492","486"
"Other","680","0"
"Other renewable","0","0"
"Solar","1000","1429"
"Waste","869","674"
"Wind Offshore","228","357"
"Wind Onshore","2646","3284"
"Total Grand capacity","33213","32238"
